type,name,alias,chart sku,file name,tags,category,cat1,cat2,category alias to replace,bundle_chart_thumb,bundle+chart images,1:1 gallery
,,,,images/bundle/A03_10180_abst_fl_blue_277.jpg,,,abstract,flower,,,,A03_abs_flo_02_thin_V_A2_59_4_42
,,,,images/bundle/A03_10190_abst_fl_blue_277.jpg,,,abstract,flower,,,,A03_abs_flo_03_thin_V_A2_59_4_42
,,,,images/bundle/A03_10200_abst_fl_blue_277.jpg,,,abstract,water,,,,A03_abs_flo_04_A1c_fancy_V_30_80
,,,,images/bundle/A03_10210_abst_fl_blue_277.jpg,,,abstract,water,,,,A03_abs_flo_05_fancy_V_30_30
,,,,images/bundle/A03_10220_abst_fl_blue_277.jpg,,,abstract,material,,,,A03_abs_flo_06_A4_thin_V_A4_29_7_21
,,,,images/bundle/A03_10230_abst_fl_blue_277.jpg,,,abstract,sea,,,,A03_abs_flo_07_A4_thin_V_A4_29_7_21
,,,,images/bundle/A03_10240_abst_fl_blue_277.jpg,,,abstract,sea,,,,A03_abs_flo_08_A3H_thin_H_A3_29_7_42
bundle,"Golden Flowers, Gold is Gold",golden-flowers-gold-is-gold,A0A_10630,images/bundle/A04_10250_abst_fl_gold_277.jpg,"abstract,abstract,abstract,abstract,abstract,abstract,abstract,abstract,flower,flower,flower,material,plant,building,flower,motivational,painting,blossom,artistic,gold,white,abstract,painting,blossom,artistic,gold,white,abstract,painting,blossom,artistic,gold,white,abstract,sparks,welding,artistic,gold,line art,steel,illustration,wire,artistic,gold,metallic,apple,fruit,wall,brick,photo,painting,white,illustration,artistic,line art,gold,flower,dancing,gold,illustration,abstract,quote,quote",flower,abstract,flower,,images/bundle/gallery/A04_bundle_chart_thumb_762.jpg,images/bundle/gallery/A04_1083_room_1_2_762.jpg|images/bundle/gallery/A04_abs_gold_sizes_decor_n_chart_combo1_cat_762.jpg|images/bundle/gallery/A0A_1251_762.jpg|images/bundle/gallery/A04_abs_flo_01_thin_V_A2_59_4_42_762.jpg|images/bundle/gallery/A04_thin_V_30_30_762.jpg|images/bundle/gallery/A04_thin_V_30_40_762.jpg|images/bundle/gallery/A0A_cat_chart_thinW_V_A2_59_1_762.jpg|images/bundle/gallery/A0A_cat_chart_thinW_V_A2_59_2_762.jpg|images/bundle/gallery/A04_1124_room_1a_762.jpg|images/bundle/gallery/A04_1126_room_1_762.jpg|images/bundle/gallery/A04_abs_flo_02_thin_V_A2_59_4_42_762.jpg|images/bundle/gallery/A04_abs_flo_03_thin_V_A2_59_4_42_762.jpg|images/bundle/gallery/A04_abs_flo_08_thin_V_30_40_762.jpg|images/bundle/gallery/A04_thin_H_30_60_762.jpg|images/bundle/gallery/A04_thin_V_30_60_762.jpg,A04_abs_flo_01_thin_V_A2_59_4_42
,,,,images/bundle/A04_10260_abst_fl_gold_277.jpg,,,abstract,flower,,,,A04_abs_flo_02_thin_V_A2_59_4_42
,,,,images/bundle/A04_10270_abst_fl_gold_277.jpg,,,abstract,flower,,,,A04_abs_flo_03_thin_V_A2_59_4_42
,,,,images/bundle/A04_10280_abst_fl_gold_277.jpg,,,abstract,material,,,,A04_thin_H_30_60
,,,,images/bundle/A04_10290_abst_fl_gold_277.jpg,,,abstract,plant,,,,A04_thin_V_30_30
,,,,images/bundle/A04_10300_abst_fl_gold_277.jpg,,,abstract,building,,,,A04_abs_flo_08_thin_V_30_40
,,,,images/bundle/A04_10310_abst_fl_gold_277.jpg,,,abstract,flower,,,,A04_thin_V_30_40
,,,,images/bundle/A04_10320_abst_fl_gold_277.jpg,,,abstract,motivational,,,,A04_thin_V_30_60
